,Brand,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
547,Honda,Honda Dream Yuga,2016.0,39700.0,Yes,"Nelamangala, Bangalore", Karnataka
548,Bajaj,Bajaj Avenger Street 220,2018.0,70000.0,Yes,"Malad, Mumbai", Maharashtra
549,Yamaha,Yamaha SZ-R,2012.0,45000.0,Yes,"Baruipur, South 24 Parganas", West Bengal
550,BGAUSS,BGauss C12i Max,2023.0,65000.0,Yes,South East Delhi, Delhi
552,Hero,Hero Passion Pro,2017.0,40000.0,Yes,"Dombivli, Thane", Maharashtra
553,Yamaha,Yamaha FZ16,2018.0,60000.0,Yes,Bangalore, Karnataka
554,Yamaha,Yamaha FZ25,2019.0,90000.0,Yes,"Santacruz, Mumbai", Maharashtra
555,Bajaj,Bajaj Pulsar 135LS,2017.0,40000.0,Yes,"Hadapsar, Pune", Maharashtra
556,Aprilia,Aprilia SR 150,2018.0,52000.0,Yes,Mangalore, Karnataka
557,Royal Enfield,Royal Enfield  Diesel bullet 1983 model,1983.0,190000.0,Yes,Bangalore, Karnataka
558,TVS,TVS Star City,2009.0,10000.0,Yes,Chennai, Tamil Nadu
559,TVS,TVS Apache RTR 200 4V 2022,2022.0,95000.0,Yes,Palghar, Maharashtra
560,Yamaha,Yamaha Fascino,2017.0,35000.0,Yes,Kolkata, West Bengal
561,Honda,Honda Activa 6G,2021.0,70000.0,Yes,Srinagar, Jammu Kashmir
562,Triumph,Triumph Speed 400 2025,2024.0,240000.0,Yes,"Badvel, Kadapa", Andhra Pradesh
563,Hero,Hero Glamour X 125 Disc,2022.0,55000.0,Yes,"Bellandur, Bangalore", Karnataka
564,Bajaj,Bajaj Pulsar 200 NS ABS,2013.0,40000.0,Yes,Pune, Maharashtra
565,Suzuki,Suzuki V-Strom 650XT ABS BS6,2023.0,950000.0,Yes,"HSR Layout, Bangalore", Karnataka
566,Aprilia,Aprilia RS 457,2024.0,450000.0,Yes,Bangalore, Karnataka
567,TVS,TVS iQube Electric,2020.0,70000.0,Yes,"Bannerghatta Road, Bangalore", Karnataka
568,Royal Enfield,Royal Enfield Classic 350,2016.0,80000.0,Yes,Ghaziabad, Uttar Pradesh
569,Aprilia,Aprilia SR 150,2020.0,65000.0,Yes,"Domjur, Howrah", West Bengal
570,Hero,Hero Passion Pro i3s,2017.0,45000.0,Yes,"Ameenpur, Sangareddy", Telangana
571,Ather Energy,Ather 450X,2021.0,75000.0,Yes,Mumbai, Maharashtra
572,TVS,TVS Raider 125,2023.0,95000.0,Yes,Ghaziabad, Uttar Pradesh
574,Royal Enfield,Royal Enfield Interceptor 650 Twin,2022.0,275000.0,Yes,Chennai, Tamil Nadu
575,Honda,Honda CB350 DLX Pro,2024.0,220000.0,Yes,Mumbai, Maharashtra
576,Royal Enfield,Royal Enfield Meteor 350 Fireball,2022.0,170000.0,Yes,"Hadapsar, Pune", Maharashtra
577,Honda,Honda Activa,2024.0,75000.0,Yes,"Chinhat, Lucknow", Uttar Pradesh
578,Yamaha,Yamaha R15 V4,2023.0,160000.0,Yes,Chennai, Tamil Nadu
579,Royal Enfield,Royal Enfield Classic 350,2016.0,85000.0,Yes,"Delhi Cantonment, New Delhi", Delhi
580,BMW,BMW G 310 RR,2023.0,270000.0,Yes,Rajkot, Gujarat
581,Triumph,Triumph Speed 400,2023.0,199000.0,Yes,South Delhi, Delhi
582,Hero,Hero HF 100,2021.0,39000.0,Yes,New Delhi, Delhi
583,Royal Enfield,Royal Enfield Interceptor 650 Twin,2024.0,400000.0,Yes,"Jayanagar, Bangalore", Karnataka
584,Bajaj,Bajaj CT 110 ES,2020.0,40000.0,Yes,Pilibhit, Uttar Pradesh
585,Triumph,Triumph Speed 400,2025.0,270000.0,Yes,Pimpri-Chinchwad, Maharashtra
587,Hero,Hero CBZ Xtreme,2012.0,25000.0,Yes,Kolkata, West Bengal
588,Hero,Hero Xoom LX,2023.0,60000.0,Yes,Khagaria, Bihar
589,Honda,Honda CB350 DLX,2021.0,180000.0,Yes,Pune, Maharashtra
590,Honda,Honda CB300R,2024.0,180000.0,Yes,Hyderabad, Telangana
591,TVS,TVS Wego,2014.0,18000.0,Yes,Prayagraj, Uttar Pradesh
592,Revolt Motors,Revolt RV400 Eclipse Red,2020.0,35000.0,Yes,"Model Town, North Delhi", Delhi
593,Hero,Hero Splendor Plus IBS i3s,2022.0,67000.0,Yes,Anand, Gujarat
594,TVS,TVS NTORQ 125 Race Edition,2021.0,65000.0,Yes,Surat, Gujarat
595,Bajaj,Bajaj Pulsar NS 160 BS6,2021.0,90000.0,Yes,"Saidabad, Hyderabad", Telangana
596,Bajaj,Bajaj Pulsar NS125 BS6,2024.0,105000.0,Yes,"Jansath, Muzaffarnagar", Uttar Pradesh
597,Royal Enfield,Royal Enfield Thunderbird,2016.0,120000.0,Yes,Navi Mumbai, Maharashtra
598,Benelli,Benelli TRK 251,2023.0,210000.0,Yes,"Valapady, Salem", Tamil Nadu
599,Royal Enfield,Royal Enfield Thunderbird 350,2019.0,110000.0,Yes,Pune, Maharashtra
600,Ather Energy,Ather 450X Gen 3,2023.0,125000.0,Yes,Bangalore, Karnataka
