,Brand,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
768,Suzuki,Suzuki Gixxer 150,2017.0,65000.0,Yes,"Bagnan, Howrah", West Bengal
769,Royal Enfield,Royal Enfield Classic 350,2016.0,110000.0,Yes,Kolkata, West Bengal
770,Bajaj,Bajaj Avenger Street 160,2021.0,68000.0,Yes,"Dombivli, Thane", Maharashtra
772,Hero,Hero Maestro Edge,2016.0,18000.0,Yes,"Preet Vihar, East Delhi", Delhi
773,Yamaha,Yamaha FZ25,2017.0,60000.0,Yes,Kolkata, West Bengal
774,Royal Enfield,Royal Enfield Himalayan 450,2024.0,275000.0,Yes,"Uzhavarkarai, Pondicherry", Pondicherry
775,Bajaj,Bajaj Pulsar 150 DTSi,2014.0,30000.0,Yes,Howrah, West Bengal
777,Honda,Honda Hness CB 350,2021.0,150000.0,Yes,"Greater Noida, Gautam Buddha Nagar", Uttar Pradesh
778,TVS,TVS iQube Electric,2023.0,85000.0,Yes,New Delhi, Delhi
779,Hero,Hero Pleasure,2017.0,44999.0,Yes,Gandhinagar, Gujarat
780,Hero,Hero Glamour Xtec,2021.0,60000.0,Yes,Nellore, Andhra Pradesh
781,Ampere Electric,Ampere Magnus Ex,2023.0,35000.0,Yes,"Dahisar, Mumbai", Maharashtra
782,Yamaha,Yamaha YZF R15 V3,2018.0,120000.0,Yes,Pimpri-Chinchwad, Maharashtra
783,KTM,KTM RC 125 2020,2020.0,125000.0,Yes,Rewa, Madhya Pradesh
784,Bajaj,Bajaj Pulsar 150 DTSi,2020.0,60000.0,Yes,"Kandivali, Mumbai", Maharashtra
785,Honda,Honda Activa,2008.0,20000.0,Yes,Pune, Maharashtra
786,Vida (by Hero),Vida V1 Plus,2024.0,100000.0,Yes,Ahmednagar, Maharashtra
787,Jawa,Jawa  2024,2024.0,230000.0,Yes,Vadodara, Gujarat
788,Honda,Honda Aviator,2011.0,15000.0,Yes,"T. Nagar, Chennai", Tamil Nadu
789,TVS,TVS Apache RTR 180 ABS,2017.0,44000.0,Yes,"T. Nagar, Chennai", Tamil Nadu
790,Honda,Honda Livo 110,2017.0,40000.0,Yes,"Rau, Indore", Madhya Pradesh
791,Honda,Honda Shine 125 Disc,2015.0,45000.0,Yes,Bangalore, Karnataka
792,Yamaha,Yamaha Fascino,2019.0,50000.0,Yes,"Avadi, Tiruvallur", Tamil Nadu
793,Royal Enfield,Royal Enfield Bullet 350,2015.0,110000.0,Yes,"Tarabganj, Gonda", Uttar Pradesh
794,BMW,BMW G 310 GS BS6,2020.0,290000.0,Yes,Hyderabad, Telangana
795,Royal Enfield,Royal Enfield Thunderbird 350,2015.0,140000.0,Yes,Pune, Maharashtra
796,Royal Enfield,Royal Enfield Hunter 350 Retro,2023.0,160000.0,Yes,Vijayawada, Andhra Pradesh
798,Royal Enfield,Royal Enfield Thunderbird X 350,2018.0,130000.0,Yes,"Konni, Pathanamthitta", Kerala
799,Honda,Honda Activa 3G,2015.0,35000.0,Yes,Pune, Maharashtra
800,Royal Enfield,Royal Enfield Classic 350,2015.0,80000.0,Yes,"Delhi Cantonment, New Delhi", Delhi
801,Royal Enfield,Royal Enfield Bullet Electra 5S,2012.0,100000.0,Yes,"Malad, Mumbai", Maharashtra
802,Honda,Honda Livo Disc,2013.0,40000.0,Yes,Farrukhabad, Uttar Pradesh
803,Bajaj,Bajaj Dominar 250,2020.0,120000.0,Yes,Kozhikode, Kerala
805,Hero,Hero Xpulse 200 4V,2022.0,135000.0,Yes,Surat, Gujarat
806,Bajaj,Bajaj Pulsar 150 DTSi,2015.0,45000.0,Yes,"Navi Mumbai, Thane", Maharashtra
808,Royal Enfield,Royal Enfield Bullet Standard 350,1997.0,120000.0,Yes,Chennai, Tamil Nadu
809,KTM,KTM Duke 250 2025,2025.0,230000.0,Yes,New Delhi, Delhi
810,Royal Enfield,Royal Enfield Himalayan Sleet,2019.0,139000.0,Yes,"Greater Noida, Gautam Buddha Nagar", Uttar Pradesh
811,Royal Enfield,Royal Enfield Guerrilla 450 Flash,2025.0,280000.0,Yes,Greater Noida, Uttar Pradesh
812,TVS,TVS Jupiter ZX SmartXonnect,2022.0,75000.0,Yes,Bangalore, Karnataka
813,Ola Electric,Ola S1 Pro Gen2,2024.0,90000.0,Yes,Surendranagar, Gujarat
814,Bajaj,Bajaj Avenger 200 DTS-i,2010.0,40000.0,Yes,Hyderabad, Telangana
815,Yamaha,Yamaha Fazer FI V2,2014.0,28000.0,Yes,"Vikhroli, Mumbai", Maharashtra
816,Honda,Honda Activa 5G,2019.0,49999.0,Yes,"Zirakpur, Mohali", Punjab
817,Hero,Hero Pleasure,2015.0,23000.0,Yes,Kolkata, West Bengal
818,Royal Enfield,Royal Enfield Bullet Standard 350,2019.0,130000.0,Yes,"Olpad, Surat", Gujarat
819,TVS,TVS Jupiter 125,2022.0,70000.0,Yes,Nagpur, Maharashtra
820,Triumph,Triumph Speed 400,2023.0,240000.0,Yes,"Ameerpet, Hyderabad", Telangana
821,Bajaj,Bajaj Pulsar 150,2013.0,25000.0,Yes,Kabirdham, Chhattisgarh
822,Jitendra EV,Jitendra JMT Classic City,2023.0,38000.0,Yes,"Parel, Mumbai", Maharashtra
823,Hero,Hero CBZ,2011.0,20000.0,Yes,"Kandivali, Mumbai", Maharashtra
824,TVS,TVS Jupiter 125,2017.0,35000.0,Yes,"Dwarka, South West Delhi", Delhi
825,Bajaj,Bajaj Pulsar P150,2023.0,85000.0,Yes,"Erumely, Kottayam", Kerala
826,Honda,Honda Activa 3G,2015.0,35000.0,Yes,Dehradun, Utarakhand
827,Bajaj,Bajaj Avenger Cruise 220,2016.0,65000.0,Yes,Jodhpur, Rajasthan
828,Mahindra,Mahindra Centuro O1,2014.0,30000.0,Yes,New Delhi, Delhi
829,Hero,Hero HF Deluxe,2017.0,60000.0,Yes,Belgaum, Karnataka
830,Revolt Motors,Revolt RV400 BRZ,2025.0,120000.0,Yes,"Civil Lines, Central Delhi", Delhi
831,Revolt Motors,Revolt RV 400,2022.0,100000.0,Yes,Chennai, Tamil Nadu
832,Yamaha,Yamaha Fazer,2013.0,47000.0,Yes,Vadodara, Gujarat
833,Honda,Honda Unicorn,2011.0,25000.0,Yes,Mumbai, Maharashtra
834,Hero,Hero HF Deluxe i3s,2020.0,40000.0,Yes,"Diamond Harbour, South 24 Parganas", West Bengal
835,Hero,Hero Super Splendor XTEC,2023.0,70000.0,Yes,Ahmedabad, Gujarat
836,KTM,KTM Duke 250,2022.0,185000.0,Yes,"Meghnagar, Jhabua", Madhya Pradesh
837,Triumph,Triumph Speed 400,2023.0,215000.0,Yes,"Anna Nagar, Chennai", Tamil Nadu
838,Royal Enfield,Royal Enfield Thunderbird TwinSpark 350,2012.0,55000.0,Yes,Hosur, Tamil Nadu
839,TVS,TVS Ronin TD,2022.0,160000.0,Yes,"Indiranagar, Bangalore", Karnataka
840,Honda,Honda CB350 Brigade,2024.0,190000.0,Yes,"Thiruporur, Chengalpattu", Tamil Nadu
841,TVS,TVS Apache RTR 160 4V,2022.0,70000.0,Yes,"Maddur, Mandya", Karnataka
842,Suzuki,Suzuki Access 125,2013.0,10000.0,Yes,"Kalol, Gandhinagar", Gujarat
843,TVS,TVS Ronin TD Special Edition,2025.0,170000.0,Yes,"Durgapur, Paschim Bardhaman", West Bengal
844,Royal Enfield,Royal Enfield Thunderbird X 350,2018.0,100000.0,Yes,North Delhi, Delhi
845,Harley,Harley Davidson X440 S,2024.0,260000.0,Yes,Etawah, Uttar Pradesh
846,Bajaj,Bajaj Avenger Street 160,2021.0,70000.0,Yes,Lucknow, Uttar Pradesh
847,Royal Enfield,Royal Enfield Continental GT 650,2025.0,410000.0,Yes,"Perambur, Chennai", Tamil Nadu
848,Hero,Hero HF Deluxe,2020.0,44000.0,Yes,"Chhutmalpur, Saharanpur", Uttar Pradesh
849,Bajaj,Bajaj Avenger Street 160,2020.0,42000.0,Yes,Buxar, Bihar
850,Honda,Honda Activa 6G Dlx,2023.0,75000.0,Yes,Pune, Maharashtra
851,Royal Enfield,Royal Enfield Meteor 350 Fireball,2025.0,220000.0,Yes,Mysore, Karnataka
852,Royal Enfield,Royal Enfield Continental GT 650 Twin,2022.0,320000.0,Yes,"Chandannagar, Hooghly", West Bengal
853,KTM,KTM RC 200,2018.0,90000.0,Yes,Ujjain, Madhya Pradesh
854,Yamaha,Yamaha SZ-R,2011.0,15000.0,Yes,Indore, Madhya Pradesh
855,Jawa,Jawa Jawa,2020.0,65000.0,Yes,"Sankrail, Howrah", West Bengal
856,River Mobility,River Indie 2024,2024.0,115000.0,Yes,Bangalore, Karnataka
857,Suzuki,Suzuki Burgman Street Ride Connect Edition,2023.0,90000.0,Yes,"Mira-Bhayandar, Thane", Maharashtra
858,Honda,Honda Shine 125 Drum OBD2,2025.0,80000.0,Yes,Ghaziabad, Uttar Pradesh
859,Bajaj,Bajaj Pulsar NS 160 BS6,2025.0,130000.0,Yes,"Bano, Simdega", Jharkhand
860,Bajaj,Bajaj Avenger Cruise 220,2018.0,75000.0,Yes,"Yamuna Vihar, North East Delhi", Delhi
861,Suzuki,Suzuki Gixxer SF,2025.0,170000.0,Yes,Meerut, Uttar Pradesh
862,Royal Enfield,Royal Enfield Classic 350,2016.0,125000.0,Yes,Vadodara, Gujarat
863,Yamaha,Yamaha FZ-S FI V2,2015.0,50000.0,Yes,"Kandivali, Mumbai", Maharashtra
864,Bajaj,Bajaj Discover 100,2015.0,15000.0,Yes,Mangalore, Karnataka
865,Benelli,Benelli Imperiale 400 BS6,2020.0,180000.0,Yes,Daman, Daman n Diu
866,Suzuki,Suzuki Access 125,2011.0,17000.0,Yes,"Vasai-Virar, Palghar", Maharashtra
867,Royal Enfield,Royal Enfield Thunderbird X 350,2019.0,100000.0,Yes,"Angamaly, Ernakulam", Kerala
868,Hero,Hero HF Deluxe ECO,2024.0,50000.0,Yes,Lucknow, Uttar Pradesh
869,Honda,Honda Activa 5G,2018.0,35000.0,Yes,"Punjabi Bagh, West Delhi", Delhi
870,Yamaha,Yamaha FZ-S FI V3 BS6,2021.0,80000.0,Yes,"Kanjhawala, North West Delhi", Delhi
871,Royal Enfield,Royal Enfield Classic 350,2018.0,90000.0,Yes,New Delhi, Delhi
872,Ola Electric,Ola S1 X Gen 3 4kWh,2025.0,100000.0,Yes,Pune, Maharashtra
873,Bajaj,Bajaj Avenger Cruise 220 BS6,2021.0,85000.0,Yes,North 24 Parganas, West Bengal
874,Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2023.0,120000.0,Yes,Gurgaon, Haryana
875,Yamaha,Yamaha FZ-S FI V3,2019.0,70000.0,Yes,Pimpri-Chinchwad, Maharashtra
876,Royal Enfield,Royal Enfield Classic 350 BS VI,2021.0,210000.0,Yes,Jaipur, Rajasthan
877,BMW,BMW G 310 RR,2024.0,250000.0,Yes,"Malad, Mumbai", Maharashtra
878,TVS,TVS Apache RTR 180,2015.0,25000.0,Yes,"Maraimalai Nagar, Chengalpattu", Tamil Nadu
879,Honda,Honda Shine 125,2017.0,25000.0,Yes,Lucknow, Uttar Pradesh
880,Royal Enfield,Royal Enfield Himalayan BS VI,2020.0,165000.0,Yes,"Srirangam, Tiruchirappalli", Tamil Nadu
881,Yamaha,Yamaha Aerox 155 Version S 2025,2025.0,130000.0,Yes,Hooghly, West Bengal
882,BMW,BMW G 310 GS,2021.0,320000.0,Yes,Sangareddy, Telangana
883,Hero,Hero CBZ Xtreme,2011.0,25000.0,Yes,"Wakad, Pune", Maharashtra
884,Bajaj,Bajaj Dominar 250,2020.0,100000.0,Yes,New Delhi, Delhi
885,Bajaj,Bajaj Pulsar 125,2020.0,50000.0,Yes,Gurgaon, Haryana
886,Yamaha,Yamaha FZ-S,2016.0,40000.0,Yes,"Balasinor, Mahisagar", Gujarat
887,Ola Electric,Ola S1X 4 kWh,2024.0,79000.0,Yes,"Saket, South Delhi", Delhi
889,Bajaj,Bajaj Pulsar 220F,2010.0,25000.0,Yes,"Bandhabahal, Jharsuguda", Orissa
890,Bajaj,Bajaj Pulsar 150 BS6,2025.0,125000.0,Yes,Hyderabad, Telangana
891,Suzuki,Suzuki Access 125,2008.0,7000.0,Yes,"Tirumalagiri, Hyderabad", Telangana
892,Honda,Honda CB Unicorn,2016.0,50000.0,Yes,"Sarjapur Road, Bangalore", Karnataka
893,Honda,Honda Shine 125 Disc,2022.0,60000.0,Yes,"Ameerpet, Hyderabad", Telangana
894,TVS,TVS iQube Electric,2023.0,99500.0,Yes,"Chakan, Pune", Maharashtra
895,Royal Enfield,Royal Enfield Hunter 350 Metro,2023.0,180000.0,Yes,"Rajajinagar, Bangalore", Karnataka
896,Hero,Hero Passion Pro,2012.0,16000.0,Yes,Hyderabad, Telangana
897,TVS,TVS NTORQ 125,2020.0,43000.0,Yes,Thane, Maharashtra
898,Revolt Motors,Revolt RV 400,2024.0,125000.0,Yes,"Andheri East, Mumbai", Maharashtra
899,Yezdi,Yezdi Roadster Dark,2023.0,170000.0,Yes,Ahmedabad, Gujarat
900,Yamaha,Yamaha Fascino,2019.0,38000.0,Yes,Hyderabad, Telangana
901,Yezdi,Yezdi Adventure Matte,2023.0,180000.0,Yes,"Kanjurmarg, Mumbai", Maharashtra
902,Honda,Honda Activa 125,2017.0,30000.0,Yes,Kolkata, West Bengal
903,Royal Enfield,Royal Enfield Bear 650,2025.0,424000.0,Yes,"Berhampore, Murshidabad", West Bengal
904,Hero,Hero Xtreme 125R,2024.0,83000.0,Yes,"Abu Road, Sirohi", Rajasthan
905,Bajaj,Bajaj Dominar 400 ABS BS6,2019.0,120000.0,Yes,"Chanakyapuri, New Delhi", Delhi
906,Hero,Hero Maestro Edge 125,2012.0,17000.0,Yes,"Thiruvalla, Pathanamthitta", Kerala
907,TVS,TVS Jupiter,2018.0,35000.0,Yes,"Dwarka, South West Delhi", Delhi
908,Yamaha,Yamaha R15M,2021.0,158000.0,Yes,"Rajajinagar, Bangalore", Karnataka
909,Bajaj,Bajaj CT 125X,2023.0,74000.0,Yes,"Memari, Bardhaman", West Bengal
910,Bajaj,Bajaj Pulsar NS 160,2023.0,80000.0,Yes,"Muradnagar, Ghaziabad", Uttar Pradesh
911,Hero,Hero Glamour,2015.0,32000.0,Yes,"Whitefield, Bangalore", Karnataka
912,Aprilia,Aprilia SR 160,2020.0,80000.0,Yes,"Perinthalmanna, Malappuram", Kerala
913,Hero,Hero Karizma XMR,2024.0,150000.0,Yes,Mathura, Uttar Pradesh
914,Yamaha,Yamaha SZ-R,2012.0,20000.0,Yes,"Kalyani, Nadia", West Bengal
915,Royal Enfield,Royal Enfield Himalayan,2023.0,225000.0,Yes,Kolkata, West Bengal
916,Bajaj,Bajaj Avenger Street 220,2018.0,55000.0,Yes,Hyderabad, Telangana
917,Bajaj,Bajaj Pulsar 150 DTSi,2019.0,70000.0,Yes,Pune, Maharashtra
918,TVS,TVS Ronin TD Special Edition,2024.0,135000.0,Yes,"Guindy, Chennai", Tamil Nadu
919,Yamaha,Yamaha Fazer,2010.0,20000.0,Yes,New Delhi, Delhi
920,Bajaj,Bajaj Avenger Cruise 220 BS6,2021.0,95000.0,Yes,Kolkata, West Bengal
921,E-Motorad,E-Next Pro Plus,2024.0,39000.0,Yes,South West Delhi, Delhi
922,Royal Enfield,Royal Enfield Hunter 350 Metro,2023.0,135000.0,Yes,"Badshahpur, Gurgaon", Haryana
923,Triumph,Triumph Bonneville T120,2021.0,950000.0,Yes,"Whitefield, Bangalore", Karnataka
924,Hero,Hero Xtreme 160R 4V 2024,2025.0,130000.0,Yes,"Badshahpur, Gurgaon", Haryana
925,Royal Enfield,Royal Enfield Scram 411,2022.0,140000.0,Yes,Agra, Uttar Pradesh
926,iVOOMi Energy,iVOOMi JeetX,2023.0,69000.0,Yes,Pune, Maharashtra
927,Bajaj,Bajaj Avenger Cruise 220,2018.0,55000.0,Yes,"Sohna, Gurgaon", Haryana
928,Royal Enfield,Royal Enfield Classic 350,2021.0,190000.0,Yes,Pune, Maharashtra
929,Royal Enfield,Royal Enfield Bullet 350,1989.0,85000.0,Yes,"Kochi, Ernakulam", Kerala
930,KTM,KTM Duke 200,2014.0,110000.0,Yes,"HSR Layout, Bangalore", Karnataka
931,BattRE,BattRE LoEV,2021.0,37999.0,Yes,Ghaziabad, Uttar Pradesh
932,Royal Enfield,Royal Enfield Meteor 350 Fireball,2024.0,175000.0,Yes,Chennai, Tamil Nadu
933,Bajaj,Bajaj Pulsar 150,2013.0,30000.0,Yes,Bangalore, Karnataka
934,Ola Electric,Ola S1 Pro,2022.0,90000.0,Yes,Pimpri-Chinchwad, Maharashtra
935,BSA,BSA Gold Star 650,2024.0,299000.0,Yes,New Delhi, Delhi
936,Royal Enfield,Royal Enfield 2023 Interceptor 650,2022.0,265000.0,Yes,"Kundli, Sonipat", Haryana
937,Honda,Honda CBR 250R,2018.0,140000.0,Yes,"Electronic City, Bangalore", Karnataka
938,Bajaj,Bajaj Pulsar 125,2023.0,90000.0,Yes,Farrukhabad, Uttar Pradesh
939,Ola Electric,Ola S1 Pro,2023.0,125000.0,Yes,North 24 Parganas, West Bengal
940,TVS,TVS Jupiter,2017.0,25000.0,Yes,"Badkhal, Faridabad", Haryana
941,KTM,KTM 390 Adventure,2023.0,310000.0,Yes,Mumbai, Maharashtra
942,Royal Enfield,Royal Enfield Classic Desert Storm,2017.0,135000.0,Yes,"Madukkarai, Coimbatore", Tamil Nadu
943,Yamaha,Yamaha R15M Monster Energy MotoGP Edition,2024.0,195000.0,Yes,Kachchh, Gujarat
944,Hero,Hero Splendor Plus,2013.0,28000.0,Yes,Panipat, Haryana
945,KTM,KTM RC 200,2021.0,140000.0,Yes,Bangalore, Karnataka
946,Royal Enfield,Royal Enfield Himalayan 2021,2021.0,200000.0,Yes,Lucknow, Uttar Pradesh
947,Bajaj,Bajaj Pulsar RS 200 ABS,2015.0,60000.0,Yes,"Chakan, Pune", Maharashtra
948,Yamaha,Yamaha YZF R15 V3,2020.0,90000.0,Yes,Araria, Bihar
949,TVS,TVS Apache RTR 180,2020.0,75000.0,Yes,Kanpur, Uttar Pradesh
950,Yamaha,Yamaha FZ FI V3 BS6,2023.0,95000.0,Yes,Ratnagiri, Maharashtra
951,Honda,Honda Unicorn,2010.0,50000.0,Yes,"Koramangala, Bangalore", Karnataka
952,TVS,TVS iQube S,2022.0,87000.0,Yes,"Hebbal, Bangalore", Karnataka
953,Honda,Honda Activa 6G H-smart,2023.0,75000.0,Yes,Kolkata, West Bengal
954,Suzuki,Suzuki Gixxer SF Fi,2018.0,60000.0,Yes,"Marathahalli, Bangalore", Karnataka
955,Ola Electric,Ola S1 Pro,2024.0,98000.0,Yes,"Narnaul, Mahendragarh", Haryana
956,Jawa,Jawa Jawa BS6,2023.0,120000.0,Yes,Pimpri-Chinchwad, Maharashtra
957,Royal Enfield,Royal Enfield Himalayan 2021,2021.0,140000.0,Yes,Kolkata, West Bengal
958,Yamaha,Yamaha FZ25,2018.0,100000.0,Yes,"Bannerghatta Road, Bangalore", Karnataka
959,Royal Enfield,Royal Enfield Thunderbird 350,2014.0,55000.0,Yes,Kolkata, West Bengal
961,Ola Electric,Ola S1 Pro,2022.0,79999.0,Yes,"Electronic City, Bangalore", Karnataka
962,Royal Enfield,Royal Enfield Thunderbird 350,2019.0,120000.0,Yes,Chennai, Tamil Nadu
963,Bajaj,Bajaj Pulsar NS 125,2025.0,95000.0,Yes,Faridabad, Haryana
964,Ola Electric,Ola S1 Pro,2022.0,80000.0,Yes,"Thumkunta, Medchal-Malkajgiri", Telangana
965,Bajaj,Bajaj Avenger 220 DTS-i,2018.0,100000.0,Yes,Hyderabad, Telangana
966,Royal Enfield,Royal Enfield Classic 500,2017.0,95000.0,Yes,Guwahati, Assam
967,Honda,Honda XBlade BS6,2020.0,79000.0,Yes,"Ameerpet, Hyderabad", Telangana
968,Bajaj,Bajaj Discover 150 S,2012.0,20000.0,Yes,"Marathahalli, Bangalore", Karnataka
970,Suzuki,Suzuki Access 125,2023.0,90000.0,Yes,Bangalore, Karnataka
971,Bajaj,Bajaj Avenger Cruise 220,2019.0,81000.0,Yes,Pune, Maharashtra
972,Hero,Hero Duet 110,2016.0,43500.0,Yes,Bangalore, Karnataka
973,Hero,Hero Xpulse 200 4V,2022.0,120000.0,Yes,Hyderabad, Telangana
974,Aprilia,Aprilia SXR 160,2020.0,45000.0,Yes,"Andheri East, Mumbai", Maharashtra
975,Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2024.0,100000.0,Yes,Bhilwara, Rajasthan
976,Bajaj,Bajaj Avenger Cruise 220,2018.0,60000.0,Yes,Chennai, Tamil Nadu
977,Honda,Honda CB350 DLX Pro,2024.0,210000.0,Yes,"Gandhinagar, Ahmedabad", Gujarat
978,KTM,KTM Duke 390 2022,2022.0,250000.0,Yes,Dehradun, Utarakhand
979,Bajaj,Bajaj V15,2016.0,30000.0,Yes,Noida, Uttar Pradesh
980,Hero,Hero CBZ Xtreme,2013.0,45000.0,Yes,Ahmedabad, Gujarat
981,KTM,KTM 390 Adventure 2022,2022.0,290000.0,Yes,New Delhi, Delhi
982,Bajaj,Bajaj Dominar 400 Disc,2018.0,140000.0,Yes,"Badlapur, Thane", Maharashtra
983,BMW,BMW F 900 GS Adventure,2025.0,1500000.0,Yes,Pune, Maharashtra
984,Yamaha,Yamaha Aerox 155 2025,2025.0,160000.0,Yes,"Andheri East, Mumbai", Maharashtra
985,Royal Enfield,Royal Enfield Bullet 350 ES BS6,2021.0,130000.0,Yes,"Sanganer, Jaipur", Rajasthan
986,Hero,Hero XPulse 200T,2019.0,60000.0,Yes,"Nagercoil, Kanyakumari", Tamil Nadu
987,KTM,KTM 390 Adventure X,2024.0,300000.0,Yes,Chennai, Tamil Nadu
988,TVS,TVS Apache RTR 160 4V,2020.0,90000.0,Yes,Dehradun, Utarakhand
989,Yamaha,Yamaha FZ-S,2012.0,35000.0,Yes,Greater Noida, Uttar Pradesh
990,Hero,Hero Passion X Pro,2018.0,30000.0,Yes,South Delhi, Delhi
991,Harley,Harley Davidson X440 S,2023.0,265000.0,Yes,"Rajouri Garden, West Delhi", Delhi
992,Yezdi,Yezdi Roadster Dark,2022.0,170000.0,Yes,Udaipur, Rajasthan
993,Honda,Honda Dream Yuga,2014.0,30000.0,Yes,"Hadapsar, Pune", Maharashtra
994,Royal Enfield,Royal Enfield Classic Stealth Black,2021.0,165000.0,Yes,"Saket, South Delhi", Delhi
995,TVS,TVS NTORQ 125 Race XP,2022.0,65000.0,Yes,Khammam, Telangana
996,Suzuki,Suzuki Gixxer SF BS6,2025.0,120000.0,Yes,Bhilwara, Rajasthan
997,Hero,Hero Glamour Xtec,2022.0,60000.0,Yes,North 24 Parganas, West Bengal
998,Hero,Hero Xtreme,2012.0,20000.0,Yes,"Kalyan, Thane", Maharashtra
999,Harley,Harley Davidson Fat Bob,2018.0,1200000.0,Yes,Gurgaon, Haryana
1000,Royal Enfield,Royal Enfield Hunter 350 Metro,2023.0,165000.0,Yes,Pune, Maharashtra
1001,Royal Enfield,Royal Enfield Bullet,2025.0,170000.0,Yes,Kolkata, West Bengal
1002,TVS,TVS Apache RTR 180,2018.0,50000.0,Yes,Ghaziabad, Uttar Pradesh
1003,Bajaj,Bajaj Pulsar NS 200 2024,2024.0,145000.0,Yes,"Narasaraopet, Palnadu", Andhra Pradesh
1004,Royal Enfield,Royal Enfield Bullet Machismo A350,2004.0,90000.0,Yes,Bangalore, Karnataka
1005,Ather Energy,Ather 450X,2022.0,110000.0,Yes,Bangalore, Karnataka
1006,Keeway Motors,Keeway SR 125,2024.0,95000.0,Yes,"Kalyan, Thane", Maharashtra
1007,Yamaha,Yamaha FZ-S,2019.0,70000.0,Yes,"Wakad, Pune", Maharashtra
1008,Yezdi,Yezdi Roadster Chrome,2022.0,155000.0,Yes,Madurai, Tamil Nadu
1009,Yezdi,Yezdi Roadster Dark,2024.0,168000.0,Yes,Hyderabad, Telangana
1010,Bajaj,Bajaj Pulsar 150 BS6,2022.0,85000.0,Yes,Hyderabad, Telangana
1011,Bajaj,Bajaj Pulsar 125,2020.0,45000.0,Yes,"Motihari, EastChamparan", Bihar
1012,Revolt Motors,Revolt RV 400,2020.0,70000.0,Yes,New Delhi, Delhi
1013,Jawa,Jawa 42 Bobber Dual Channel ABS,2022.0,120000.0,Yes,Chennai, Tamil Nadu
1014,Royal Enfield,Royal Enfield Interceptor 650 Twin,2021.0,250000.0,Yes,Ahmedabad, Gujarat
1016,Hero,Hero Xpulse 200 4V,2025.0,115000.0,Yes,Bhopal, Madhya Pradesh
1017,Royal Enfield,Royal Enfield Thunderbird 350,2017.0,94000.0,Yes,New Delhi, Delhi
1018,Bajaj,Bajaj Platina 100,2019.0,38000.0,Yes,"Pillu Khera, Jind", Haryana
1019,Revolt Motors,Revolt RV 400,2021.0,60000.0,Yes,Pune, Maharashtra
1020,Vespa,Vespa VXL 150,2020.0,85000.0,Yes,"Marathahalli, Bangalore", Karnataka
1021,Triumph,Triumph Thruxton 400,2025.0,350000.0,Yes,"Bannerghatta Road, Bangalore", Karnataka
1023,Brazen Motors,Brazen  Prime,2022.0,31000.0,Yes,Rewari, Haryana
1024,Ola Electric,Ola Roadster X Plus,2025.0,140000.0,Yes,Noida, Uttar Pradesh
1025,Honda,Honda Dio,2017.0,50000.0,Yes,Coimbatore, Tamil Nadu
1026,Jawa,Jawa 42 Dual Channel ABS AllStar Black,2021.0,150000.0,Yes,Beed, Maharashtra
1027,Honda,Honda CBR 250R,2015.0,90000.0,Yes,"Banashankari, Bangalore", Karnataka
1028,Yamaha,Yamaha FZ-X,2023.0,120000.0,Yes,"Kompally, Medchal-Malkajgiri", Telangana
1029,Honda,Honda CD 110 Dream Deluxe,2021.0,57000.0,Yes,Hyderabad, Telangana
1030,Bajaj,Bajaj Pulsar AS 150,2019.0,53000.0,Yes,Gurgaon, Haryana
1032,Bajaj,Bajaj Pulsar 180,2016.0,50000.0,Yes,"Banashankari, Bangalore", Karnataka
1033,Hero,Hero Karizma ZMR,2014.0,55000.0,Yes,Hyderabad, Telangana
1034,Ola Electric,Ola S1,2022.0,75000.0,Yes,"Ankola, Uttara Kannada", Karnataka
1036,Honda,Honda CB Shine,2018.0,40000.0,Yes,Bharuch, Gujarat
1038,Hero,Hero XPulse 200T BS6,2021.0,62000.0,Yes,Kolkata, West Bengal
1039,Suzuki,Suzuki Gixxer 150,2015.0,35000.0,Yes,"Bellandur, Bangalore", Karnataka
1040,Honda,Honda Shine 125 Drum,2011.0,45000.0,Yes,Bangalore, Karnataka
1041,Triumph,Triumph Scrambler 400 X,2024.0,260000.0,Yes,Pune, Maharashtra
1042,Honda,Honda Activa 4G,2018.0,40000.0,Yes,Vadodara, Gujarat
1043,Bajaj,Bajaj Pulsar NS200,2017.0,70000.0,Yes,"Ameerpet, Hyderabad", Telangana
1044,Hero Cycles,Bicycle  LIBERTY SWIFT,2025.0,25000.0,No,Noida, Uttar Pradesh
1045,Bajaj,Bajaj Pulsar 150 Neon BS6,2021.0,65000.0,Yes,Hyderabad, Telangana
1046,Honda,Honda CB Trigger,2013.0,50000.0,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
1047,Ola Electric,Ola S1 Pro,2024.0,125000.0,Yes,"Rajajinagar, Bangalore", Karnataka
1048,Royal Enfield,Royal Enfield Classic 350,2017.0,145000.0,Yes,"Ambattur, Chennai", Tamil Nadu
1049,TVS,TVS Apache RR 310,2020.0,129999.0,Yes,Thane, Maharashtra
1050,Yamaha,Yamaha MT-15 Ver 2.0,2022.0,110000.0,Yes,Gurgaon, Haryana
1051,Bajaj,Bajaj Pulsar 150 Twin Disc,2018.0,48000.0,Yes,Nashik, Maharashtra
