Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Suzuki Intruder 150,2018,"Bangalore, Karnataka",45000,Yes
Jawa 42 Bobber Black Mirror,2023,"Ghaziabad, Uttar Pradesh",200000,Yes
Royal Enfield Classic 350 Dual Channel BS6,2021,"Kaduthuruthy, Kottayam, Kerala",165000,Yes
Royal Enfield Thunderbird 500,2018,"Bangalore, Karnataka",150000,Yes
TVS Apache RTR 160,2011,"Bangalore, Karnataka",24000,Yes
Bajaj Pulsar NS200,2017,"Banashankari, Bangalore, Karnataka",75000,Yes
Royal Enfield Classic Desert Storm,2014,"Gurgaon, Haryana",95000,Yes
TVS Apache RR 310,2019,"Dombivli, Thane, Maharashtra",160000,Yes
Yamaha FZ-S FI V3 BS6,2021,"Howrah, West Bengal",70000,Yes
Royal Enfield Bullet Standard 350,2020,"Hosur, Tamil Nadu",110000,Yes
Bajaj Platina 100,2008,"New Delhi, Delhi",15000,Yes
KUOTA KALIBUR,2007,"Hyderabad, Telangana",90000,Yes
Royal Enfield Hunter 350 Metro,2022,"Hinjewadi, Pune, Maharashtra",90000,Yes
Royal Enfield Bear 650,2025,"Bhopal, Madhya Pradesh",380000,Yes
KTM Duke 200 2024,2025,"Chakan, Pune, Maharashtra",200000,Yes
Yamaha MT-15 Ver 2.0,2022,"Ahmednagar, Maharashtra",140000,Yes
Bajaj Pulsar 220 DTSFi,2013,"Marathahalli, Bangalore, Karnataka",59000,Yes
Jawa Perak BS6,2020,"Meerut, Uttar Pradesh",135000,Yes
Bajaj Pulsar NS125 BS6,2024,,,Yes
Triumph Speed T4,2024,"Bhopal, Madhya Pradesh",225000,Yes
Royal Enfield Himalayan,2016,"North 24 Parganas, West Bengal",80000,Yes
Yamaha FZ-X,2025,"Pharenda, Maharajganj, Uttar Pradesh",130000,Yes
KTM RC 200,2018,"Pratapgarh, Rajasthan",127000,Yes
Honda Activa,2013,"Pitampura, North West Delhi, Delhi",20000,Yes
Hero Pleasure,2016,"Jamshedpur, Jharkhand",30000,Yes
Bajaj Chetak Premium Standard,2024,"Bhopal, Madhya Pradesh",110000,Yes
Hero,2011,"Chembur, Mumbai, Maharashtra",20000,Yes
KTM RC 390,2018,"Najafgarh, South West Delhi, Delhi",120000,Yes
Jawa Jawa,2020,"Barasat, North 24 Parganas, West Bengal",110000,Yes
Hero Splendor Plus BS6,2024,"Shirpur, Dhule, Maharashtra",70000,Yes
Hero Xtreme 125R,2025,"Chhatarpur, Madhya Pradesh",95000,Yes
Bajaj Avenger Street 160,2019,"Pimpri-Chinchwad, Pune, Maharashtra",35000,Yes
Yamaha FZ-S FI V3,2019,"Nambiyur, Erode, Tamil Nadu",63000,Yes
Yamaha YZF R15 S,2017,"Pune, Maharashtra",55000,Yes
Triumph Speed 400,2024,"New Delhi, Delhi",230000,Yes
Bajaj Pulsar NS400Z,2025,"Tirupur, Tamil Nadu",210000,Yes
Royal Enfield Super Meteor 650,2024,"Hoskote, Bangalore, Karnataka",420000,Yes
Honda Shine,2022,,,Yes
Royal Enfield Himalayan 450,2024,"Ameerpet, Hyderabad, Telangana",320000,Yes
Honda Activa 4G,2017,"Kolkata, West Bengal",30000,Yes
Royal Enfield Bullet Electra,2003,"Mumbai, Maharashtra",50000,Yes
Yamaha R15M,2023,"New Delhi, Delhi",140000,Yes
TVS Jupiter 125 SmartXonnect,2025,"Badshahpur, Gurgaon, Haryana",90000,Yes
Ola S1 Air,2022,"Electronic City, Bangalore, Karnataka",72000,Yes
Jawa 42 Bobber Dual Channel ABS,2020,"Salem, Tamil Nadu",85000,Yes
Bicycle Schnell,2022,"Velachery, Chennai, Tamil Nadu",18000,No
Bajaj Pulsar NS125 BS6,2025,"Noida, Gautam Buddha Nagar, Uttar Pradesh",100000,Yes
Revolt RV400 Stealth Black Limited Edition,2023,"Dammaiguda, Medchal-Malkajgiri, Telangana",80000,Yes
Yamaha MT-15,2023,"Noida, Uttar Pradesh",120000,Yes
TVS Raider 125,2023,"Jabalpur, Madhya Pradesh",65000,Yes
Honda Hornet 2.0,2020,"Electronic City, Bangalore, Karnataka",80000,Yes
Honda Activa 6G Dlx,2023,"Faridabad, Haryana",68000,Yes
Royal Enfield Classic 350 Dual Channel BS6,2022,"Pondicherry, Pondicherry",190000,Yes
Royal Enfield Bullet 350,2019,"Ballia, Uttar Pradesh",145000,Yes
TVS Wego,2014,"New Delhi, Delhi",25000,Yes
TVS Raider 125,2023,Uttar Pradesh,70000,Yes
Suzuki Gixxer SF,2015,"Thane, Maharashtra",25000,Yes
Vespa VXL 125,2013,"Chennai, Tamil Nadu",52000,Yes
Bajaj Avenger Street 150,2016,"Lucknow, Uttar Pradesh",42000,Yes
Husqvarna Vitpilen 250 2020,2020,"Ahmedabad, Gujarat",155000,Yes
Bajaj Avenger Street 160,2016,"New Delhi, Delhi",55000,Yes
Bajaj Pulsar RS 200 BS6,2022,"Belgaum, Karnataka",180000,Yes
Jawa forty two,2020,"Dwarka, South West Delhi, Delhi",135000,Yes
Royal Enfield Classic 350,2023,"Kolkata, West Bengal",165000,Yes
Jawa 42 FJ,2025,"East Delhi, Delhi",185000,Yes
,,"Nagpur, Maharashtra",120000,Yes
Yamaha Fascino,2016,"Bangalore, Karnataka",35000,Yes
Hero Destini 125,2024,"Electronic City, Bangalore, Karnataka",70000,Yes
TVS Jupiter,2017,"HSR Layout, Bangalore, Karnataka",40000,Yes
Bajaj Freedom 125 NG04 Drum,2024,"Phulwari Sharif, Patna, Bihar",65000,Yes
Hero Xtreme Sports,2016,"Mughalsarai, Chandauli, Uttar Pradesh",25000,Yes
Harley Davidson X440 Vivid,2023,"Whitefield, Bangalore, Karnataka",225000,Yes
Suzuki Gixxer SF 250 BS6,2024,"Vadodara, Gujarat",180000,Yes
Honda CB Shine,2013,"Ratlam, Madhya Pradesh",28999,Yes
Hero Passion Pro BS6,2021,"Chakeri, Kanpur, Uttar Pradesh",58000,Yes
Royal Enfield Classic 350,2015,"Mandi, Himachal Pradesh",85000,Yes
TVS Jupiter 125,2022,"Ameerpet, Hyderabad, Telangana",80000,Yes
Revolt RV 400,2020,"Coimbatore, Tamil Nadu",60000,Yes
KTM Duke 390 2022,2022,"Lucknow, Uttar Pradesh",250000,Yes
WaltX Spark Spark 7,2023,"Lucknow, Uttar Pradesh",40000,Yes
Ola S1,2023,"Banashankari, Bangalore, Karnataka",90000,Yes
Bajaj Avenger Street 150,2018,"Ahmedabad, Gujarat",38000,Yes
BMW G 310 RR,2023,"Shibpur, Howrah, West Bengal",220000,Yes
Yamaha Aerox 155,2024,"Noida, Uttar Pradesh",130000,Yes
Triumph Speed T4,2025,,,Yes
Suzuki Gixxer SF 250 BS6,2023,"Thane, Maharashtra",172000,Yes
Royal Enfield Continental GT 535,2017,"Dombivli, Thane, Maharashtra",110000,Yes
Hero Achiever,2020,"Varanasi, Uttar Pradesh",45000,Yes
Bajaj Pulsar 150 DTSi,2021,"Thane, Maharashtra",90000,Yes
Bajaj Avenger 220 DTS-i,2013,"Chennai, Tamil Nadu",55000,Yes
Yamaha MT-15,2024,"Mumbai, Maharashtra",160000,Yes
TVS Sport BS6,2022,"Gandhinagar, Gujarat",40000,Yes
Royal Enfield Continental GT 650 Twin,2020,"Tirupati, Andhra Pradesh",280000,Yes
Yezdi Roadster Dual Tone,2024,"Coimbatore, Tamil Nadu",145000,Yes
Honda CB Trigger,2014,"Narkatiaganj, West Champaran, Bihar",45000,Yes
Honda Hness CB350 DLX Pro,2024,"Lucknow, Uttar Pradesh",180000,Yes
Royal Enfield Meteor 350 Stellar,2021,"Pondicherry, Pondicherry",160000,Yes
Bajaj Pulsar NS 160,2019,"Bhopal, Madhya Pradesh",55000,Yes
Yamaha Alpha,2015,"Cuddalore, Tamil Nadu",25000,Yes
Royal Enfield Classic 350,2014,"Gorakhpur, Uttar Pradesh",135000,Yes
Royal Enfield Guerrilla 450,2024,"Hanumangarh, Rajasthan",250000,Yes
Honda Activa 4G,2015,"Berasia, Bhopal, Madhya Pradesh",40000,Yes
Royal Enfield Classic Signals Airborne Blue,2019,"Indore, Madhya Pradesh",180000,Yes
Royal Enfield Thunderbird 350,2015,"Pune, Maharashtra",100000,Yes
Royal Enfield Scram 411,2022,"Indore, Madhya Pradesh",218000,Yes
Honda Unicorn Dazzler,2012,"Tirupati, Andhra Pradesh",15000,Yes
Yamaha Fascino,2017,"Jaipur, Rajasthan",35000,Yes
Bicycle  Ternk Link C7,2009,,,No
Suzuki Access 125 CBS,2020,"Tiruchirappalli, Tamil Nadu",60000,Yes
Yezdi Roadster Dark,2022,"Navi Mumbai, Maharashtra",170000,Yes
Bajaj Pulsar 150 DTSi,2013,"Baramati, Pune, Maharashtra",30000,Yes
Hero Maestro Edge 110 BS6,2018,"Noida, Uttar Pradesh",43000,Yes
Hero Pleasure Plus BS6,2019,"Pimpri-Chinchwad, Maharashtra",55000,Yes
Bajaj Avenger Cruise 220,2021,"Bhagalpur, Bihar",120000,Yes
Royal Enfield Scram 411,2022,"Kandivali, Mumbai, Maharashtra",180000,Yes
Ducati Multistrada 950,2017,"Rajajinagar, Bangalore, Karnataka",1000000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2022,"Ameerpet, Hyderabad, Telangana",150000,Yes
Bajaj Dominar 400 ABS BS6,2018,"West Delhi, Delhi",120000,Yes
,,"Lucknow, Uttar Pradesh",65000,Yes
Honda Activa 3G,2015,"South Delhi, Delhi",20500,Yes
Bajaj Avenger 220 DTS-i,2012,"Sholinganallur, Chennai, Tamil Nadu",22000,Yes
Yamaha YZF R15 V3,2022,"Faridabad, Haryana",110000,Yes
Harley Davidson Street 750,2015,"Wakad, Pune, Maharashtra",260000,Yes
Suzuki Gixxer SF,2015,"Khammam, Telangana",45000,Yes
TVS Apache RTR 200 4V ABS,2017,"Chandrapur, Maharashtra",80000,Yes
Royal Enfield Interceptor 650 Twin,2022,"Khammam, Telangana",270000,Yes
,,Haryana,245000,Yes
Honda CBF Stunner,2010,"Bangalore, Karnataka",12000,Yes
Jawa forty two BS6,2020,"Sholinganallur, Chennai, Tamil Nadu",140000,Yes
Bajaj Dominar 400 Disc,2020,"Sambalpur, Orissa",160000,Yes
Honda Hness CB350 DLX Pro,2022,"Panchkula, Haryana",160000,Yes
Ola S1 Pro Gen2,2024,"Mumbai, Maharashtra",99500,Yes
BMW G 310 GS,2021,"Sion, Mumbai, Maharashtra",250000,Yes
Bajaj Pulsar 150 DTSi,2009,,,Yes
TVS NTORQ 125,2019,"Kolkata, West Bengal",40000,Yes
Yamaha FZ-X,2024,"Marthandam, Kanyakumari, Tamil Nadu",130000,Yes
Bajaj Pulsar 135LS,2017,Uttar Pradesh,30000,Yes
Hero Glamour PGM Fi,2015,"Ranchi, Jharkhand",55000,Yes
Jawa forty two,2019,"Thane, Maharashtra",110000,Yes
Hero Splendor iSmart,2017,"Allahabad, Uttar Pradesh",35000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2022,"New Delhi, Delhi",150000,Yes
Yamaha Fazer,2011,"Shaikpet, Hyderabad, Telangana",40000,Yes
Aprilia SR 160,2022,"Kolkata, West Bengal",59999,Yes
Royal Enfield Classic 350,2016,"Nashik, Maharashtra",140000,Yes
Honda Activa 5G,2020,"Ulhasnagar, Thane, Maharashtra",60000,Yes
Royal Enfield Hunter 350 Metro,2023,"Surat, Gujarat",150000,Yes
Honda SP125,2021,"Armoor, Nizamabad, Telangana",73000,Yes
Yamaha Fazer,2011,"Bhopal, Madhya Pradesh",45000,Yes
TVS Jupiter 125,2025,"Tiruchirappalli, Tamil Nadu",99000,Yes
Bajaj Discover 100 DTS-Si,2011,"Indore, Madhya Pradesh",22000,Yes
Royal Enfield Thunderbird 350,2016,"Pimpri-Chinchwad, Maharashtra",110500,Yes
Royal Enfield Himalayan 2021,2021,"Bangalore, Karnataka",250000,Yes
KTM Duke 200 ABS,2020,"Hyderabad, Telangana",165000,Yes
Yezdi Adventure Matte,2022,"Kankavli, Sindhudurg, Maharashtra",225000,Yes
Bajaj Pulsar NS400Z,2024,"Gurgaon, Haryana",195000,Yes
Odysse Hawk Plus,2021,"Borivali, Mumbai, Maharashtra",45000,Yes
Yamaha R15M,2022,"Bangalore, Karnataka",155000,Yes
Royal Enfield Meteor 350 Stellar,2023,"Whitefield, Bangalore, Karnataka",199000,Yes
Bajaj Dominar 400 ABS BS6,2023,"Coimbatore, Tamil Nadu",230000,Yes
Hero Super Splendor,2011,"Andheri East, Mumbai, Maharashtra",25000,Yes
Bajaj Pulsar NS125 BS6,2021,"Barasat, North 24 Parganas, West Bengal",65000,Yes
Bajaj Discover 125 ST,2013,"Etmadpur, Agra, Uttar Pradesh",38000,Yes
Hero XPulse 200,2024,"KR Puram, Bangalore, Karnataka",150000,Yes
Yamaha FZ FI V3 BS6,2022,"Hoskote, Bangalore, Karnataka",85000,Yes
Honda CB Shine,2013,"Bagnan, Howrah, West Bengal",30000,Yes
Ola S1 Pro,2023,"Chhindwara, Madhya Pradesh",88000,Yes
Aprilia SR 125,2023,"Pune, Maharashtra",100000,Yes
Okaya Freedum LI-2,2023,"Rohini, North West Delhi, Delhi",50000,Yes
Vida V1 Pro,2024,"Sarjapur Road, Bangalore, Karnataka",110000,Yes
Jawa Perak BS6,2020,"Patiala, Punjab",190000,Yes
Jawa Midnight Grey,2022,"Kakinada, Andhra Pradesh",220000,Yes
Bajaj Pulsar 220F,2013,"Vadodara, Gujarat",25000,Yes
Hero HF Deluxe BS6,2023,"Chandabali, Bhadrak, Orissa",67000,Yes
Bajaj Chetak 3502 Standard,2025,"Pimpri-Chinchwad, Pune, Maharashtra",120000,Yes
KTM Duke 250,2021,"Chennai, Tamil Nadu",250000,Yes
Hero Passion X Pro,2016,"Nagapattinam, Tamil Nadu",20000,Yes
Royal Enfield Super Meteor 650,2023,"Varanasi, Uttar Pradesh",395000,Yes
Honda Aviator,2011,"Wakad, Pune, Maharashtra",25000,Yes
Bajaj Avenger Street 150,2017,"Navi Mumbai, Maharashtra",45000,Yes
Bajaj Dominar 400,2019,"Mehrauli, South Delhi, Delhi",120000,Yes
Yamaha YZF R15 V3,2018,"Lucknow, Uttar Pradesh",90000,Yes
Royal Enfield Himalayan 450,2023,"Thoothukudi, Tamil Nadu",240000,Yes
Suzuki Access,2011,"KR Puram, Bangalore, Karnataka",15000,Yes
Royal Enfield Classic 350,2016,"Model Town, North Delhi, Delhi",90000,Yes
KTM 250 Adventure,2023,"Mettupalayam, Coimbatore, Tamil Nadu",215000,Yes
Bajaj Dominar 400,2017,"Mysore, Karnataka",100000,Yes
Kawasaki Ninja 300R,2014,,,Yes
Suzuki Access 125 BS6,2018,"Bangalore, Karnataka",55000,Yes
Yamaha FZ-S,2014,"Sarjapur Road, Bangalore, Karnataka",35000,Yes
Honda Unicorn,2011,"Mysore, Karnataka",20000,Yes
TVS Jupiter,2024,"South West Delhi, Delhi",70000,Yes
Yamaha Saluto 125,2017,"Farrukhnagar, Gurgaon, Haryana",25000,Yes
Bajaj CT 100 ES,2020,"Pune, Maharashtra",40000,Yes
TVS Apache RTR 310,2023,"Devanahalli, Bangalore, Karnataka",300000,Yes
Honda CB Unicorn 160,2016,"Navi Mumbai, Maharashtra",25000,Yes
Royal Enfield Classic Gunmetal Grey,2018,"Purulia, West Bengal",120000,Yes
Bajaj Pulsar 180,2011,"New Delhi, Delhi",20000,Yes
Honda Activa,2019,"Chennai, Tamil Nadu",55000,Yes
Royal Enfield Thunderbird 500,2015,"Pimpri-Chinchwad, Pune, Maharashtra",115000,Yes
Royal Enfield Thunderbird X 350,2018,"Dombivli, Thane, Maharashtra",95000,Yes
Hero CBZ Xtreme,2012,"Hadapsar, Pune, Maharashtra",40000,Yes
Royal Enfield Thunderbird 350,2017,"Amberpet, Hyderabad, Telangana",95000,Yes
Honda Activa 6G,2022,"Hyderabad, Telangana",60000,Yes
KTM Duke 200,2021,"Pune, Maharashtra",120000,Yes
Honda SP125,2024,"Hyderabad, Telangana",90000,Yes
Honda Activa 6G,2020,"West Delhi, Delhi",48500,Yes
TVS NTORQ 125 Super Soldier Edition,2021,"Kanpur Nagar, Uttar Pradesh",68000,Yes
Jawa Jawa,2020,"Kolkata, West Bengal",100000,Yes
Royal Enfield Classic 350 Dual Channel BS6,2020,"Allahabad, Uttar Pradesh",180000,Yes
Bajaj Avenger Street 160,2021,"Pune, Maharashtra",75000,Yes
Bajaj Freedom 125 NG04 Drum LED,2024,"New Delhi, Delhi",95000,Yes
Royal Enfield Bullet Standard 350,2023,"Nelamangala, Bangalore, Karnataka",190000,Yes
Bajaj Discover 100M,2015,"Lucknow, Uttar Pradesh",35000,Yes
Bajaj Avenger Cruise 220,2021,"Hyderabad, Telangana",110000,Yes
Ola S1 Air,2023,"Nashik, Maharashtra",100000,Yes
Bajaj Avenger Cruise 220,2015,,,Yes
Bajaj Pulsar 135LS,2016,"Sankarapuram, Kallakurichi, Tamil Nadu",65000,Yes
Royal Enfield 2023 Interceptor 650,2024,"Jodhpur, Rajasthan",370000,Yes
TVS Jupiter Classic,2018,"Mumbai, Maharashtra",35000,Yes
Honda Activa,2011,"Pimpri-Chinchwad, Pune, Maharashtra",20000,Yes
Honda Dream Yuga,2016,"Nelamangala, Bangalore, Karnataka",39700,Yes
Bajaj Avenger Street 220,2018,"Malad, Mumbai, Maharashtra",70000,Yes
Yamaha SZ-R,2012,"Baruipur, South 24 Parganas, West Bengal",45000,Yes
BGauss C12i Max,2023,"South East Delhi, Delhi",65000,Yes
Hero XPulse 200 BS6,2021,Telangana,85000,Yes
Hero Passion Pro,2017,"Dombivli, Thane, Maharashtra",40000,Yes
Yamaha FZ16,2018,"Bangalore, Karnataka",60000,Yes
Yamaha FZ25,2019,"Santacruz, Mumbai, Maharashtra",90000,Yes
Bajaj Pulsar 135LS,2017,"Hadapsar, Pune, Maharashtra",40000,Yes
Aprilia SR 150,2018,"Mangalore, Karnataka",52000,Yes
Royal Enfield  Diesel bullet 1983 model,1983,"Bangalore, Karnataka",190000,Yes
TVS Star City,2009,"Chennai, Tamil Nadu",10000,Yes
TVS Apache RTR 200 4V 2022,2022,"Palghar, Maharashtra",95000,Yes
Yamaha Fascino,2017,"Kolkata, West Bengal",35000,Yes
Honda Activa 6G,2021,"Srinagar, Jammu Kashmir",70000,Yes
Triumph Speed 400 2025,2024,"Badvel, Kadapa, Andhra Pradesh",240000,Yes
Hero Glamour X 125 Disc,2022,"Bellandur, Bangalore, Karnataka",55000,Yes
Bajaj Pulsar 200 NS ABS,2013,"Pune, Maharashtra",40000,Yes
Suzuki V-Strom 650XT ABS BS6,2023,"HSR Layout, Bangalore, Karnataka",950000,Yes
Aprilia RS 457,2024,"Bangalore, Karnataka",450000,Yes
TVS iQube Electric,2020,"Bannerghatta Road, Bangalore, Karnataka",70000,Yes
Royal Enfield Classic 350,2016,"Ghaziabad, Uttar Pradesh",80000,Yes
Aprilia SR 150,2020,"Domjur, Howrah, West Bengal",65000,Yes
Hero Passion Pro i3s,2017,"Ameenpur, Sangareddy, Telangana",45000,Yes
Ather 450X,2021,"Mumbai, Maharashtra",75000,Yes
TVS Raider 125,2023,"Ghaziabad, Uttar Pradesh",95000,Yes
,,"Bolpur, Birbhum, West Bengal",64000,Yes
Royal Enfield Interceptor 650 Twin,2022,"Chennai, Tamil Nadu",275000,Yes
Honda CB350 DLX Pro,2024,"Mumbai, Maharashtra",220000,Yes
Royal Enfield Meteor 350 Fireball,2022,"Hadapsar, Pune, Maharashtra",170000,Yes
Honda Activa,2024,"Chinhat, Lucknow, Uttar Pradesh",75000,Yes
Yamaha R15 V4,2023,"Chennai, Tamil Nadu",160000,Yes
Royal Enfield Classic 350,2016,"Delhi Cantonment, New Delhi, Delhi",85000,Yes
BMW G 310 RR,2023,"Rajkot, Gujarat",270000,Yes
Triumph Speed 400,2023,"South Delhi, Delhi",199000,Yes
Hero HF 100,2021,"New Delhi, Delhi",39000,Yes
Royal Enfield Interceptor 650 Twin,2024,"Jayanagar, Bangalore, Karnataka",400000,Yes
Bajaj CT 110 ES,2020,"Pilibhit, Uttar Pradesh",40000,Yes
Triumph Speed 400,2025,"Pimpri-Chinchwad, Maharashtra",270000,Yes
Mahindra Duro,2010,,,Yes
Hero CBZ Xtreme,2012,"Kolkata, West Bengal",25000,Yes
Hero Xoom LX,2023,"Khagaria, Bihar",60000,Yes
Honda CB350 DLX,2021,"Pune, Maharashtra",180000,Yes
Honda CB300R,2024,"Hyderabad, Telangana",180000,Yes
TVS Wego,2014,"Prayagraj, Uttar Pradesh",18000,Yes
Revolt RV400 Eclipse Red,2020,"Model Town, North Delhi, Delhi",35000,Yes
Hero Splendor Plus IBS i3s,2022,"Anand, Gujarat",67000,Yes
TVS NTORQ 125 Race Edition,2021,"Surat, Gujarat",65000,Yes
Bajaj Pulsar NS 160 BS6,2021,"Saidabad, Hyderabad, Telangana",90000,Yes
Bajaj Pulsar NS125 BS6,2024,"Jansath, Muzaffarnagar, Uttar Pradesh",105000,Yes
Royal Enfield Thunderbird,2016,"Navi Mumbai, Maharashtra",120000,Yes
Benelli TRK 251,2023,"Valapady, Salem, Tamil Nadu",210000,Yes
Royal Enfield Thunderbird 350,2019,"Pune, Maharashtra",110000,Yes
Ather 450X Gen 3,2023,"Bangalore, Karnataka",125000,Yes
Yamaha MT-15 BS6,2024,"Kurnool, Andhra Pradesh",175000,Yes
Bajaj Dominar 400 Disc,2019,"Electronic City, Bangalore, Karnataka",95000,Yes
,,"Gurgaon, Haryana",175000,Yes
Yamaha FZ-S FI V3,2019,Telangana,55000,Yes
Suzuki GS 150R,2025,"Karawal Nagar, North East Delhi, Delhi",130000,Yes
Bajaj Pulsar 150 DTSi,2015,"Thane, Maharashtra",30000,Yes
QJ Motor SRC500,2024,"Hebbal, Bangalore, Karnataka",225000,Yes
,,,,Yes
Royal Enfield Super Meteor 650,2023,"Indore, Madhya Pradesh",380000,Yes
Royal Enfield Classic 350 Dual Channel ABS BS IV,2019,"Kalkaji, South East Delhi, Delhi",130000,Yes
TVS iQube Electric,2024,"Tarbha, Subarnapur, Orissa",85000,Yes
Suzuki Gixxer 150,2017,"Ahmedabad, Gujarat",55000,Yes
Hero Electric Photon,2022,"Pharenda, Maharajganj, Uttar Pradesh",80000,Yes
Bicycle Decathlon,2023,"Whitefield, Bangalore, Karnataka",4000,No
Yamaha FZ FI V3 BS6,2019,"Indore, Madhya Pradesh",60000,Yes
,,"Jamshedpur, Jharkhand",42000,Yes
Royal Enfield Thunderbird X 350,2019,"Mysore, Karnataka",130000,Yes
Bajaj Pulsar RS 200 ABS,2016,"Ahmedabad, Gujarat",55000,Yes
Benling Aura Li,2022,"Cuttack, Orissa",15000,Yes
Bajaj Chetak Premium,2022,"Sarjapur Road, Bangalore, Karnataka",65000,Yes
TVS Apache RTR 200 4V 2020,2019,"Panvel, Raigad, Maharashtra",70000,Yes
Royal Enfield Bullet Standard 350,2021,"Haridwar, Utarakhand",180000,Yes
Bajaj Avenger Cruise 220,2011,"Lucknow, Uttar Pradesh",35000,Yes
TVS Apache RTR 200 4V,2018,"Vasai-Virar, Palghar, Maharashtra",50000,Yes
Hero Xtreme 125R,2024,"Kalanaur, Rohtak, Haryana",85000,Yes
Honda CB Shine SP,2017,"Khagaria, Munger, Bihar",29999,Yes
Suzuki Gixxer 150,2015,"Velachery, Chennai, Tamil Nadu",25000,Yes
Yamaha MT-15 Ver 2.0,2024,"Warangal, Telangana",170000,Yes
Yamaha Crux,2015,"Chennai, Tamil Nadu",15000,Yes
Yamaha YZF R15 S V3.0,2022,"North 24 Parganas, West Bengal",140000,Yes
Royal Enfield Classic 350,2017,"Rishikesh, Dehradun, Utarakhand",100000,Yes
Bajaj Avenger 180 DTS-i,2006,,,Yes
Hero Pleasure,2020,,,Yes
Yezdi Roadster Dark,2022,"Navi Mumbai, Maharashtra",190000,Yes
KTM Duke 200,2016,"Ahmedabad, Gujarat",90000,Yes
TVS Apache RTR 160 4V Special Edition,2023,"Dwarka, South West Delhi, Delhi",120000,Yes
Ola S1 Pro Gen2,2023,"Thane, Maharashtra",105000,Yes
Bajaj Pulsar NS200,2013,"HSR Layout, Bangalore, Karnataka",48000,Yes
Royal Enfield Bullet 350 ES,2021,"Hyderabad, Telangana",125000,Yes
Bajaj Dominar 400 ABS BS6,2021,"Bandra West, Mumbai, Maharashtra",160000,Yes
Bajaj Pulsar N160 Dual Channel ABS,2025,"Andheri East, Mumbai, Maharashtra",140000,Yes
Jawa 42 Bobber Dual Channel ABS,2023,"Mettupalayam, Coimbatore, Tamil Nadu",185000,Yes
,,"Kandivali, Mumbai, Maharashtra",60000,Yes
Hero HF Deluxe BS6,2023,"Pune, Maharashtra",63000,Yes
Honda Activa 3G,2015,"Noida, Uttar Pradesh",20000,Yes
Honda SP125,2022,"Rourkela, Sundergarh, Orissa",65000,Yes
Hero Destini Prime,2024,"Electronic City, Bangalore, Karnataka",72000,Yes
Royal Enfield Classic 350 Redditch Red,2022,"North East Delhi, Delhi",180000,Yes
Bajaj Dominar 400,2018,"Tambaram, Chengalpattu, Tamil Nadu",65000,Yes
TVS NTORQ 125 Race Edition,2025,"Bangalore, Karnataka",80000,Yes
Royal Enfield Bullet Standard 350,2019,"Patna, Bihar",100000,Yes
Bajaj Discover 100,2011,"Bangalore, Karnataka",26999,Yes
Royal Enfield Thunderbird X 350,2018,"Jayanagar, Bangalore, Karnataka",125000,Yes
Yezdi Roadster Dark,2022,"Chennai, Tamil Nadu",180000,Yes
Hero Maestro,2014,,,Yes
Hero Super Splendor BS6,2021,"Dehradun, Utarakhand",45000,Yes
,,"Pondicherry, Pondicherry",20000,Yes
Triumph Scrambler 400 X,2025,"Palakkad, Kerala",290000,Yes
Ola S1 Pro Gen2,2023,"Neemuch, Madhya Pradesh",120000,Yes
Bajaj Dominar 250 2025,2025,"Pune, Maharashtra",180000,Yes
Ola S1X Plus,2024,"Bangalore, Karnataka",80000,Yes
TVS Sport BS6,2021,"Ghazipur, Uttar Pradesh",38000,Yes
Hyosung GT250RC,2016,"Hyderabad, Telangana",99000,Yes
Pure EV Etrance Neo,2022,"Durgapur, Paschim Bardhaman, West Bengal",42000,Yes
Bajaj Freedom 125 NG04 Disc LED,2024,"KR Puram, Bangalore, Karnataka",110000,Yes
Ola S1X 4 kWh,2022,"Patna, Bihar",85000,Yes
Suzuki Access 125,2016,"Electronic City, Bangalore, Karnataka",51500,Yes
Honda CBF Stunner,2013,"Rajouri Garden, West Delhi, Delhi",15000,Yes
Ola S1 Pro,2021,"Mumbai, Maharashtra",55000,Yes
Suzuki Access 125,2014,"Pune, Maharashtra",18000,Yes
Royal Enfield Classic 350,2015,"Hoshangabad, Madhya Pradesh",99000,Yes
KTM Duke 200,2016,"Guntur, Andhra Pradesh",100000,Yes
Bajaj Pulsar NS 160 BS6,2023,"Hyderabad, Telangana",125000,Yes
Jawa  Jawa 42 Dual Channel ABS,2023,"Kharar, Mohali, Punjab",125000,Yes
Royal Enfield Himalayan 450,2024,"Guwahati, Assam",290000,Yes
Yamaha FZ-S FI V2,2018,"Pathankot, Punjab",60000,Yes
Bajaj Pulsar 150,2015,"Dhanbad, Jharkhand",32000,Yes
Yamaha YZF R15,2022,"Marathahalli, Bangalore, Karnataka",145000,Yes
Royal Enfield Classic 350,2018,"Moradabad, Uttar Pradesh",130000,Yes
Yamaha FZ-S,2012,"New Delhi, Delhi",24500,Yes
Bajaj Pulsar 150 DTSi,2010,"Dwarka, South West Delhi, Delhi",45000,Yes
Jawa Jawa,2020,"Trivandrum, Kerala",120000,Yes
Hero Passion Pro i3s,2024,"Vadodara, Gujarat",67000,Yes
Hero Splendor Plus,2017,"Ahmedabad, Gujarat",30000,Yes
